test,arch,platform,passed,status,extra_args,qemu,qemu_time,ram_size,rom_size
samples/net/dtls_client/test-micro,x86,qemu_x86,True,,KERNEL_TYPE=micro,True,,118041,96077
tests/crypto/test_aes/test,x86,galileo,True,,,False,,60396,47764
samples/power/power_mgr/test,x86,arduino_101,True,,,False,,10940,24361
tests/kernel/test_atomic/test,x86,minnowboard,True,,,False,,14428,11272
tests/bluetooth/init/test_4,arm,arduino_due,True,,CONF_FILE=prj_4.conf,False,,13508,38236
tests/bluetooth/init/test_14,arm,nucleo_f103rb,True,,CONF_FILE=prj_14.conf,False,,14148,46884
tests/benchmark/footprint/nanokernel/footprint-reg,x86,quark_d2000_crb,True,,TEST=reg,False,,1816,5984
tests/kernel/test_task/test,arm,nucleo_f103rb,True,,,False,,10996,15612
tests/bluetooth/init/test_6,x86,qemu_x86_iamcu,True,,CONF_FILE=prj_6.conf,True,,59953,50337
tests/kernel/test_mail/test,x86,quark_se_devboard,True,,,False,,14940,30666
tests/kernel/test_task/test,x86,minnowboard,True,,,False,,24802,16234
tests/kernel/test_pool/test,arm,arduino_due,True,,,False,,19872,14872
tests/kernel/test_build/test_debug,arm,olimexino_stm32,True,,CONF_FILE=debug.conf,False,,5756,21768
samples/synchronization/nanokernel/test,arm,frdm_k64f,True,,,False,,5776,11472
tests/bluetooth/init/test_h5_dbg,arm,qemu_cortex_m3,True,,CONF_FILE=prj_h5_dbg.conf,True,,15200,26424
tests/kernel/test_ring_buf/test,x86,arduino_101,True,,,False,,6296,14204
samples/power/power_hooks/test,x86,arduino_101,True,,,False,,10428,18984
tests/kernel/test_errno/test,arm,olimexino_stm32,True,,,False,,4176,9202
tests/bluetooth/init/test_11,x86,quark_se_devboard,True,,CONF_FILE=prj_11.conf,False,,16124,62472
tests/kernel/test_bitfield/test,arc,arduino_101_sss,True,,,False,,4328,8764
tests/benchmark/footprint/nanokernel/footprint-reg,x86,qemu_x86,True,,TEST=reg,True,,8314,6694
tests/bluetooth/init/test_4,arm,qemu_cortex_m3,True,,CONF_FILE=prj_4.conf,True,,13580,38300
tests/bluetooth/init/test_1,x86,quark_se_devboard,True,,CONF_FILE=prj_1.conf,False,,15004,43248
tests/kernel/test_rand32/test,x86,arduino_101,True,,,False,,10364,18859
tests/kernel/test_pipe_priv/test,x86,minnowboard,True,,,False,,39844,28356
tests/benchmark/footprint/nanokernel/footprint-max,x86,minnowboard,True,,TEST=max,False,,16667,12487
tests/benchmark/footprint/nanokernel/footprint-min,x86,galileo,True,,TEST=min,False,,1978,1686
tests/kernel/test_stackprot/nanokernel/test,x86,qemu_x86,True,,,True,0.22286534309387207,13678,9494
tests/bluetooth/init/test_3,arm,qemu_cortex_m3,True,,CONF_FILE=prj_3.conf,True,,12720,30164
tests/bluetooth/init/test_10,arm,olimexino_stm32,True,,CONF_FILE=prj_10.conf,False,,14068,45024
tests/kernel/test_arm_m3_irq_vector_table/test,arm,arduino_due,True,,,False,,3272,10132
samples/kernel_event_logger/nanokernel/test,x86,galileo,True,,,False,,47622,30682
tests/kernel/test_pipe/test,x86,quark_se_devboard,True,,,False,,16776,33451
samples/kernel_event_logger/nanokernel/test,arm,olimexino_stm32,True,,,False,,14440,24368
tests/kernel/test_sleep/test,x86,galileo,True,,,False,,36009,29237
tests/bluetooth/init/test_16,arm,stm32_mini_a15,True,,CONF_FILE=prj_16.conf,False,,13000,34904
tests/kernel/test_ring_buf/test,x86,quark_d2000_crb,True,,,False,,2100,6420
samples/sensor/bmi160/x86/test,x86,arduino_101,True,,,False,,8484,15697
samples/synchronization/microkernel/test,arm,nucleo_f103rb,True,,,False,,8792,15448
tests/benchmark/boot_time/nanokernel/test,x86,minnowboard,True,,,False,,11603,7911
